,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Ширина пролета,12,14 град,,,ГЕОС,,
,,,,Высота боковой стены,4,,,,профлист,,
,,,,Кол-во пролетов,4,,,,,,
,,,,Связевой блок,3,на каждые 40 м,,,,,
,,,,Кол. распорок в пролете,3,"если больше 4,8м",еще 2 распорки на пролет,,,,
,,,,Шаг колон,6,,,,,,
,,,,Длина здания,24,,,,,,
,,,,Площадь здания,288,,,, ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,№,Наименование,Маркировка,Профиль,Длина,К-во,Длина общ.,кг/м,Вес
,,,1,Балка верх,Бв,"ЛСЖ 250х80-2,0",6180,20,"123,6","7,2","889,92"
,,,2,Балка нижн,,"ЛСЖ 150х47/41-1,5",6000,12,72,"3,3","237,60"
,,,3,Раскос фермы средн,Рф.ср,"ЛСЖ 150х47/41-1,5",1800,6,"10,8","3,3","35,64"
,,,4,Раскос фермы бок,Рф.б,"ЛСЖ 150х47/41-1,5",2200,24,"52,8","3,3","174,24"
,,,5,Раскос фермы бок,Рф.б,"ЛСЖ 150х47/41-1,5",2000,24,48,"3,3","158,40"
,,,6,Распорка фермы,Рс.ф,"ЛСЖ 250х80-2,0",6000,3,18,"7,2","129,60"
,,,7,Прогоны,Пр,"ЛСЖ 250х80-2,0",6000,40,240,"7,2","1 728,00"
,,,8,Колонна,К,"ЛСЖ 250х80-2,0",4000,20,80,"7,2","576,00"
,,,9,Ригель,Р,"ЛСЖ 250х80-2,0",6000,24,144,"7,2","1 036,80"
,,,10,Стойка фахв.1,Ст.ф1,"ЛСЖ 250х80-2,0",5800,6,"34,8","7,2","250,56"
,,,11,,,,,,,,
,,,12,Ригель фахв.1,Р.ф1,"ЛСЖ 250х80-2,0",6000,6,36,"7,2","259,20"
,,,,Ригель фахв.1,Р.ф1,"ЛСЖ 250х80-2,0",5000,2,10,"7,2","72,00"
,,,,Ригель фахв.1,Р.ф1,"ЛСЖ 250х80-2,0",3500,4,14,"7,2","100,80"
,,,,Стойка ворота,Ст.ф1,"ЛСЖ 250х80-2,0",4000,4,16,"7,2","115,20"
,,,1,Стойка окно,Ст.ф1,"ЛСЖ 250х80-2,0",1200,8,"9,6","7,2","69,12"
,,,2,Стойка дверь,Ст.ф1,"ЛСЖ 250х80-2,0",2100,4,"8,4","7,2","60,48"
,,,,,,,,,,,
,,,#REF!,,,,,,,,
,,,#REF!,Уголок,СД-250,"2,5",,182,,"1,5","273,00"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Итого вес:,,"5 893,56"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Оцинковка,,"5 893,56",145,854 566р.
,,,,,,,,,,,
,,,,,,,Уголок 250,,182,300,54 600р.
,,,,Площадь,288,,Фасонка 6мм,,"1 178,71",136,160 305р.
,,,,Металоемкост расч.,"29,71",,Связи ф12мм,,416,162,67 392р.
,,,,Вес каркаса расч.,"8 555,95",,Пятки,,500,128,64 000р.
,,,,Цена за тонну расч.,"183,89р.",,Метизы,,"294,68",200,58 936р.
,,,,Цена на 1 кв. м,"5 463,06р.",,Доставка,,,,
,,,,Цена расч.,"1 573 361,20р.",,Проект,,"8 555,95",6,51 336р.
,,,,,,,Общий вес,,"8 555,95",,
,,,,,,,ИТОГО,,,,1 311 134р.
,,,,,,,Продажная цена +20%,,,,1 573 361р.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Ворота,,,,,,,
,,,,Основание,,80х40х3,16000,1,16,"5,2","83,20"
,,,,Стойка ворота,,80х40х3,4200,4,"16,8","5,2","87,36"
,,,,Стойка ворота,,80х40х3,1950,8,"15,6","5,2","81,12"
,,,,Внутр стойки,,60х40х3,4200,4,"16,8","4,25","71,40"
,,,,Стойка ворота,,60х40х3,1950,8,"15,6","4,25","66,30"
,,,,Связь,,60х40х3,2400,4,"9,6","4,25","40,80"
,,,,Труба обрамление,,25х25х2,40200,1,"40,2","1,49","59,90"
,,,,Труба обрамление,,,,,,,"60,00"
,,,,,,,,,итого  ,,"550,08"
,,,,Дверь,,,,,,,
,,,,Основание,,45х3,8200,1,"8,2","2,5","20,50"
,,,,Основание,,-6,6200,1,"6,2","2,5","15,50"
,,,,,,,,,,,
,,,,,,,,,итого  ,,"36,00"